# 2. 咨询分配规则解读

language=zh
language_probability=1.000
model=tiny

[00:00:03.500 - 00:00:05.500] 如果知道往後會有門大家好
[00:00:05.500 - 00:00:11.140] 今天的課程內容主要為大家講解平台商機的自動分配規則和相關的功能
[00:00:11.140 - 00:00:14.700] 我們在中國知道往推廣後會獲取向尋盤
[00:00:14.700 - 00:00:17.140] TM,訂單,多種商機
[00:00:17.140 - 00:00:21.340] 商機累積了就會設計到分配給不同的業務人員跟進
[00:00:21.340 - 00:00:23.660] 那麼分配具體規則是什麼?
[00:00:23.660 - 00:00:25.180] 怎麼分配會更加高效?
[00:00:25.180 - 00:00:26.660] 不容易出現狀態?
[00:00:26.660 - 00:00:29.540] 其中有哪一些需要我們注意的地方呢?
[00:00:29.540 - 00:00:33.260] 這些都是通過我們今天的課程可以解決的問題
[00:00:33.260 - 00:00:37.260] 我們來看第一部分自動自詢分配規則
[00:00:37.260 - 00:00:40.260] 我們看看為什麼要設置它?
[00:00:40.260 - 00:00:43.260] 具體來說通過合理化的自動分配
[00:00:43.260 - 00:00:46.260] 可以根據特定的產品地區的需求
[00:00:46.260 - 00:00:50.260] 確保將關鍵業務機會分配給最適合的團隊跟根進
[00:00:50.260 - 00:00:52.260] 更好的滿足客戶的需求
[00:00:52.260 - 00:00:56.260] 通過專業化的回覆也能夠去促進商機的轉換
[00:00:56.260 - 00:00:59.260] 同時可以確保每個自戰戶
[00:00:59.260 - 00:01:01.260] 它負責的商機自詢
[00:01:01.260 - 00:01:04.260] 都能夠得到即使的處理
[00:01:04.260 - 00:01:07.260] 避免商機的移動或者是接收顏物
[00:01:07.260 - 00:01:12.260] 通過自動化的設置商機規則也可以去避免買家的自詢
[00:01:12.260 - 00:01:14.260] 完全依賴於主張戶進行手動的分配
[00:01:14.260 - 00:01:18.260] 能夠提升商家的想音速度處理買家體驗
[00:01:18.260 - 00:01:23.830] 目前,我知道往後台商機自詢分配設置
[00:01:23.830 - 00:01:28.830] 試用於寻盤,TM消息和教育訂單的自動分配
[00:01:28.830 - 00:01:31.830] 自詢分配的規則包括主規則
[00:01:31.830 - 00:01:35.830] 復家規則有件通知規則,例外情況設置
[00:01:35.830 - 00:01:40.830] 所有自詢分配以及規則的設置都是有主張戶操作
[00:01:40.830 - 00:01:42.830] 自詢分配,沒有詢線
[00:01:42.830 - 00:01:46.830] 主張戶設置以後,將試用於公司的整體
[00:01:46.830 - 00:01:50.830] 主張戶授權開通,商機管理詢線的自詢分配
[00:01:50.830 - 00:01:53.830] 裁能夠獲得自動分配的商機
[00:01:53.830 - 00:01:56.830] 自詢分配設置之後,買家的自詢
[00:01:56.830 - 00:01:58.830] 將會按照新的規則進行分配
[00:01:58.830 - 00:02:01.830] 之前買家不會再進行分配
[00:02:01.830 - 00:02:04.830] 接下來將會通過具體的自詢
[00:02:04.830 - 00:02:10.830] 規則的一個獎解,場件應用場景為大家輸禮規則的想性
[00:02:10.830 - 00:02:18.280] 主規則一,按照產品分配新自詢
[00:02:18.280 - 00:02:21.280] 當自詰戶負責發布產品,並更上機時
[00:02:21.280 - 00:02:25.280] 對應自詰戶更熟悉和了解明一下的產品信息
[00:02:25.280 - 00:02:28.280] 能夠給到買家提供更專業且高效的服務
[00:02:28.280 - 00:02:32.280] 此時可以選擇按照產品分配新自詢
[00:02:32.280 - 00:02:36.280] 在這個規則下,買家針對某一條產品發來的商機
[00:02:36.280 - 00:02:39.280] 會自動分配給該產品對應的負責人
[00:02:39.280 - 00:02:42.280] 若買家是針對於公司發來的自詢
[00:02:42.280 - 00:02:44.280] 會不貰任分配給主詰戶
[00:02:44.280 - 00:02:47.280] 主詰戶可以通過點擊修改產品負責人
[00:02:47.280 - 00:02:50.280] 將產品分配給其他自詰戶
[00:02:50.280 - 00:02:53.280] 主規則按照國家和地區分配新自詰
[00:02:53.280 - 00:02:57.280] 當自詰戶對某個國家或地區的語言習慣
[00:02:57.280 - 00:02:59.280] 買家片號以及市場趨勢
[00:02:59.280 - 00:03:06.280] 更為熟悉和了解的時候,此時可以選擇按照國家和地區分配新自詰
[00:03:06.280 - 00:03:10.280] 在這個規則下,對應區域的買家發來的商機資詢
[00:03:10.280 - 00:03:12.280] 會給到對應區域的負責人
[00:03:12.280 - 00:03:15.280] 一個區域只能分給一個自詰戶
[00:03:15.280 - 00:03:21.280] 沒有負責人的區域對應發來的自詰會直接給到主詰戶
[00:03:21.280 - 00:03:25.280] 主詰戶可以通過點擊分配國家地區
[00:03:25.280 - 00:03:28.280] 打開分配國家地區的
[00:03:28.280 - 00:03:34.280] 操作業面,功能支持自詰室所或者按照大周分布進行率選
[00:03:34.280 - 00:03:39.280] 保存後,以分配的國家會有對應的標籍顯示
[00:03:39.280 - 00:03:46.820] 有關主規則談片的資詰問題,我們也跟大家列出來來看看一下
[00:03:46.820 - 00:03:47.820] 問題1
[00:03:47.820 - 00:03:52.820] 我明一下沒有產品,為什麼還是能夠收到商機資詰
[00:03:52.820 - 00:03:57.820] 兩位原因,第一,除產品外,買家可以針對展示聽
[00:03:57.820 - 00:04:01.820] 分組業等等其他非產品的業面發送商機
[00:04:01.820 - 00:04:04.820] 這個時候,是會給到主詰戶的
[00:04:04.820 - 00:04:08.820] 元二,該上機主詰戶有進過二次的手動分配
[00:04:08.820 - 00:04:12.820] 那麼可以讓主詰戶去查詢分配的記錄
[00:04:12.820 - 00:04:14.820] 問題2
[00:04:14.820 - 00:04:18.820] 選擇按產品分配時,買家在展示聽的業面
[00:04:18.820 - 00:04:21.820] 發起商機資詰會如何分配
[00:04:21.820 - 00:04:26.820] 如果警告選主規則按照產品分配,還助其他負家規則的影響下
[00:04:26.820 - 00:04:31.820] 那麼買家在展示聽發送的資詰會同一,可以到主詰戶
[00:04:31.820 - 00:04:35.800] 問題3
[00:04:35.800 - 00:04:37.800] 為什麽一個紫詰戶負責的產品
[00:04:37.800 - 00:04:40.800] 買家發來的商機確實另一個紫詰戶
[00:04:40.800 - 00:04:43.800] 也同樣有兩個原因,第一是我教選的負家規則
[00:04:43.800 - 00:04:47.800] 將同一買家的新資詰分配給同一收件人的影響
[00:04:47.800 - 00:04:49.800] 第二也是主詰戶進行的20分配
[00:04:49.800 - 00:04:52.800] 我們可以請主詰戶去查分配記錄
[00:04:52.800 - 00:04:54.800] 問題4
[00:04:54.800 - 00:04:58.800] 選擇主規則按產品分配時,通過下載圖色顏面發送的審盤
[00:04:58.800 - 00:05:00.800] 如何分配呢?
[00:05:00.800 - 00:05:05.800] 如果是警告選的主規則按產品分配,排除其他負家規則的影響下
[00:05:05.800 - 00:05:10.800] 這個時候,產品圖色的審盤也會同一分配給主詰戶
[00:05:10.800 - 00:05:14.270] 問題5
[00:05:14.270 - 00:05:22.270] 選擇按照國家地區分配時,買家在展示聽顏面,發起商機資詰會如何分配
[00:05:22.270 - 00:05:27.270] 如果警告選的主規則按照國家地區分配,排除其他負家規則的影響下
[00:05:27.270 - 00:05:31.270] 買家在展示聽顏面,發送的商機資詰會按照
[00:05:31.270 - 00:05:36.270] 國家地區設置分別給到對應的負責的資詰戶
[00:05:36.270 - 00:05:38.270] 問題6
[00:05:38.270 - 00:05:41.270] 選擇主規則按國家地區分配的時候
[00:05:41.270 - 00:05:45.270] 通過下載圖色顏面,發送的審盤如何分配
[00:05:45.270 - 00:05:50.270] 同樣,如果是警告選,這樣的規則排除其他負家規則的影響下
[00:05:50.270 - 00:05:56.270] 會根據下載人的國家和地區分配到對應負責的資詰戶
[00:05:56.270 - 00:06:10.130] 為了方面,上機的同一根境,除了主規則外,還會設置負家規則,優先及高於主規則的
[00:06:10.130 - 00:06:15.130] 負家規則一,將同一買家的新資詰分配給同一收件人
[00:06:15.130 - 00:06:22.130] 這是使用於買家保持長期合作的關係,或者持續年系的一種情況
[00:06:22.130 - 00:06:26.130] 可以保持服務的連冠性和一致性,另與買家體驗
[00:06:26.130 - 00:06:35.130] 我也確保買家規則新一致性,避免業務壯干,該向規則將默認勾選,且優先及高於主規則
[00:06:35.130 - 00:06:43.130] 開啟後收到新資詰將優先按照以有的買家所屬關係,分配給對應的客戶負責人
[00:06:43.130 - 00:06:50.130] 同時,為12FX後台保留市值入口,供應商支持自主去選擇取消
[00:06:50.130 - 00:06:57.410] 負家規則,將主張負的新資詰自動分配給指定業務員
[00:06:57.410 - 00:07:04.410] 該規則下主張負不直接負責商機的根件,系統自動分配主張負的名紗商機自詰
[00:07:04.410 - 00:07:15.410] 當存在較多的資張負業務員,或者商機體量比较大的,可設置按照日期,或者按照審盤的順序分配的模式
[00:07:15.410 - 00:07:19.410] 能夠確保公平並且有效處理
[00:07:19.410 - 00:07:25.410] 只要開啟的商機管理全線的資張負,在這裡都是可以勾選的
[00:07:25.410 - 00:07:33.410] 兩個分配原則按照日期分配,將主張負的新資詰按日期輪流分配給業務員
[00:07:33.410 - 00:07:41.410] 系統會按照每個月的日期和指定的業務員數量輪流分配主張負的資詰
[00:07:41.410 - 00:07:54.780] 不用您,資詰您指定了兩個業務員A和B,則主張負1月1號收到的資詰會全部給A1月2號收到資詰會全部給B,以此類推
[00:07:54.780 - 00:08:03.780] 按資詰的順序進行分配,系統按照指定業務員數量輪流分配主張負的新資詰
[00:08:03.780 - 00:08:14.780] 為保證分配的公平性系統將按照,選盤、天、教育定盤、三個圍度主義的進行分配,三個圍度比此獨立
[00:08:14.780 - 00:08:20.780] 也就是說,首條選盤分配給第一個業務員,第二個選盤分配給第二個業務員
