# 11.订单退款纠纷处理流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:04.040] 大家好,欢迎来到中国制造网教育系列课程
[00:00:04.040 - 00:00:08.040] 今天的课程内容是定单推款处理流程
[00:00:08.040 - 00:00:11.040] 可能有一些不可遇料的问题
[00:00:11.040 - 00:00:15.040] 我们供应商会出现定单无法暗示发货的情况
[00:00:15.040 - 00:00:18.640] 那么我们首先是需要保持和满家及时溝通
[00:00:18.640 - 00:00:22.040] 将意外的情况告诉给满家定期商解决
[00:00:22.040 - 00:00:26.480] 看看能不能延迟发货或者通过其他方式去解决
[00:00:27.000 - 00:00:31.520] 同时我们在和满家溝通过程中也需要保留相应的证明
[00:00:31.520 - 00:00:33.800] 尽量通过有限去保留
[00:00:33.800 - 00:00:36.840] 方便后期如果真的产生的贸易业分子
[00:00:36.840 - 00:00:38.520] 选一个有效的独裂
[00:00:38.520 - 00:00:42.840] 在发商贸易业分时还相安照平台的规则进行
[00:00:42.840 - 00:00:47.440] 在定单状态一场时我们会进行有限的同时
[00:00:47.440 - 00:00:51.120] 会上需要安照平台的操作持持进行处理
[00:00:51.120 - 00:00:53.360] 里面产生不必要的问题
[00:00:53.680 - 00:00:57.400] 如果在处理过程中遇到连入发节的问题
[00:00:57.400 - 00:00:59.720] 也要及时率平台进行溝通
[00:00:59.720 - 00:01:01.880] 需求专业的帮助
[00:01:01.880 - 00:01:04.600] 当买家发起退款或者投诉
[00:01:04.600 - 00:01:08.720] 并且确实是没有按照定单的发货期间进行发货的
[00:01:08.720 - 00:01:11.560] 工程商也需要承担相应的责任
[00:01:11.560 - 00:01:14.480] 那像这种定单无法按时发货的情况
[00:01:14.480 - 00:01:19.280] 或是也会影响到工程商在现交易的相关权益
[00:01:19.280 - 00:01:22.320] 那么当买家已经发起了退款生气
[00:01:22.320 - 00:01:25.400] 我们关键商应该怎样去进行处理呢
[00:01:25.400 - 00:01:28.560] 买家如果对产品服务有不满
[00:01:28.560 - 00:01:32.400] 在支付成功到确认说过之后的30天内
[00:01:32.400 - 00:01:35.760] 都是可以申请退款或者退货退款的
[00:01:35.760 - 00:01:40.720] 后面也会给大家详细地讲一下这两种退款的不同处理流程
[00:01:40.720 - 00:01:44.240] 首先关键商可以在后台的交易
[00:01:44.240 - 00:01:47.960] 退货退款管理里面查看具体的退款定单
[00:01:47.960 - 00:01:51.920] 这里会有同一退款以及绝对退款的选项
[00:01:51.920 - 00:01:54.560] 那如果买买雙方没有大成一支
[00:01:54.560 - 00:01:58.200] 也可以请平台或是进行一个进入的处理
[00:01:58.200 - 00:02:01.600] 然后针对两种退款情况的处理流程
[00:02:01.600 - 00:02:05.240] 我们先来看一下第一种解退款的情况
[00:02:05.240 - 00:02:08.800] 这是针对买家没有收到过或者经过写商
[00:02:08.800 - 00:02:12.160] 关键商握虚买家机会商品的退款内信
[00:02:12.160 - 00:02:15.000] 我们可以看到下面的机会图所事
[00:02:15.000 - 00:02:17.600] 一般是买家先发起退款生气
[00:02:17.600 - 00:02:19.560] 然后关键商同一退款
[00:02:19.560 - 00:02:23.640] 最后平台完成退款这个钱才会当于买家
[00:02:23.640 - 00:02:26.600] 那么另外一种是退货退款的情况
[00:02:26.600 - 00:02:30.200] 这种情况相比解退款是绿绝赋负早的
[00:02:30.200 - 00:02:33.480] 一般是买家收到过之后生气的退款
[00:02:33.480 - 00:02:36.680] 然后我们看一下具体的处理流程
[00:02:36.680 - 00:02:39.280] 一般是买家发起退款生气
[00:02:39.280 - 00:02:43.920] 关键商同一之后买家把货退回到我们公里商这边
[00:02:43.920 - 00:02:48.680] 关键商在收到过之后这个钱才能退给买家
[00:02:48.760 - 00:02:53.320] 在遭遇到退款之后我们关键商应该怎样去操作呢
[00:02:53.320 - 00:02:58.040] 首先是需要于买家机时购统起商却然处理方式
[00:02:58.040 - 00:02:59.800] 回应退款的定案
[00:02:59.800 - 00:03:03.600] 在买家体交退款生气20色小时真的就回复
[00:03:03.600 - 00:03:06.120] 或者处理买家的退款生气
[00:03:06.120 - 00:03:11.760] 即使有效的购统是避免以及产生一些贸易就分了有效处理方式
[00:03:11.760 - 00:03:16.120] 同时还需要注意针对退款后退款生气
[00:03:16.120 - 00:03:22.480] 关商却述到买家的退货后却然退款的时间不得超过30天
[00:03:22.480 - 00:03:25.480] 如果我们的买买方方无法大成一质
[00:03:25.480 - 00:03:30.760] 平坦也可以去介入写上买买双方新鲜合理的结局问题
[00:03:30.760 - 00:03:33.240] 在处理退款定单的整个流程中
[00:03:33.240 - 00:03:37.840] 也请误并按照在现交易交发退规则进行处理
[00:03:37.840 - 00:03:40.080] 同时关上效特别注意
[00:03:40.160 - 00:03:43.640] 如果没有钻旋在现交易就分出理规则
[00:03:43.640 - 00:03:45.960] 也需要接受相反的出发
[00:03:45.960 - 00:03:48.800] 当官方的商存在收款不发货
