# 2.名列前茅广告操作指南

language=zh
language_probability=1.000
model=tiny

[00:00:00.050 - 00:00:02.050] 各位公司商朋友們,大家好
[00:00:02.050 - 00:00:06.450] 歡迎來到中國製造網民列前毛廣告操作指達課程
[00:00:06.450 - 00:00:09.250] 我是本次課程的主相人,葉子
[00:00:09.250 - 00:00:12.050] 今天的核心內容主要有三個方面
[00:00:12.050 - 00:00:16.690] 分別是給大家想起拆子民列前毛廣告的升級要點
[00:00:16.690 - 00:00:19.450] 史超不重和長間問題解答
[00:00:19.450 - 00:00:23.250] 這次升級在流量和轉化上都有大動作
[00:00:23.250 - 00:00:28.250] 只會這些操作,幫大家更好的抓住新一波的報光機會
[00:00:28.650 - 00:00:32.650] 此次廣告體系升級與二月三日正式上線
[00:00:32.650 - 00:00:36.650] 首先,我們先看這次升級的兩大核心量點
[00:00:36.650 - 00:00:39.250] 更多流量和更高轉化
[00:00:39.250 - 00:00:45.250] 在更多流量這塊平台對搜索節目業,手印,做了改版優化
[00:00:45.250 - 00:00:50.650] 第一,產品展示數量,永遠來的10個直接增加到30個
[00:00:50.650 - 00:00:55.250] 增加產品的豐富度和露出給買加更多的選擇
[00:00:55.250 - 00:00:59.250] 第二,山寸組合和樣子屬動作了優化
[00:00:59.250 - 00:01:03.250] 給買加轉化,更加高效的體驗
[00:01:03.250 - 00:01:09.250] 第三,把面眼眼鏡的脫寬,視配更高分辨率,觀感更好
[00:01:09.250 - 00:01:11.250] 提升買加的流存率
[00:01:11.250 - 00:01:16.250] 而更高轉化的關鍵在於逃犯可廣告的升級
[00:01:16.250 - 00:01:20.250] 第一,廣告位置保持不變,還是黃金位置
[00:01:20.250 - 00:01:25.250] 但是,產品展示會實現侵人侵蠕,金準皮配買加需求
[00:01:25.250 - 00:01:31.250] 第二,全品方式,升級為系統智能圈品,加人工圈品
[00:01:31.250 - 00:01:37.250] 供買固定第一的,客戶還可以選擇不同的展示版式
[00:01:37.250 - 00:01:43.250] 第三,廣告會自動圈品展示並為大家的廣告資源很好
[00:01:44.250 - 00:01:50.250] 完成了,我們來看明天先把相關的廣告類型以及廣告位
[00:01:50.250 - 00:01:54.250] 總的來說,不同的廣告位都是不變的
[00:01:54.250 - 00:01:58.250] 占據的,依然是買加流亂的黃金區域
[00:01:58.250 - 00:02:05.250] 比如,固定第一的,關鍵詞目錄多女天,依然是第一夜的,第一位置
[00:02:05.250 - 00:02:12.250] 我們隨機排名的關鍵詞目錄、觸屏多於天,依然是第一的,一到十的位置
[00:02:12.250 - 00:02:18.250] 觸屏天,固定前二依然是第一的前兩個位置
[00:02:18.250 - 00:02:24.980] 兩解了廣告位具體位置之後,我們再來看廣告位的一個展示效果
[00:02:24.980 - 00:02:29.980] 首先,固定第一依然是搜索結構一的,第一位展示
[00:02:29.980 - 00:02:36.980] 我們隨機排名前十位,是在搜索結構葉,首葉前十位,進行千人千面的展示
[00:02:36.980 - 00:02:42.900] 接下來,就大家最關心的操作路口
[00:02:42.900 - 00:02:48.900] 這裡要注意,這廣告簡陷主張好操作,有兩個路徑可以進入
[00:02:48.900 - 00:02:55.900] 第一個路徑是進入和超廢斯,點擊資產,找到福利表,在選擇管理報告
[00:02:55.900 - 00:03:01.900] 第二個路徑同樣是進入和超廢斯,點擊引銷,選擇平台廣告
[00:03:01.900 - 00:03:05.900] 在點擊搜索管告最後點,管理廣告
[00:03:05.900 - 00:03:11.900] 大家根據自己的習慣就可以,兩個路口都能夠到達廣告設置的顏面
[00:03:11.900 - 00:03:16.900] 找到路口以後,我們先講把式的設置
[00:03:16.900 - 00:03:21.900] 這個只有固定第一和觸屏段固定前二的廣告才需要進行設置
[00:03:21.900 - 00:03:26.900] 隨機排名的廣告不用設置版式直接選產品就行
[00:03:26.900 - 00:03:32.900] 第一種版式是多品模式,核心是突出主推品的優勢
[00:03:32.900 - 00:03:39.900] 建議大家館定更多的4.6星以上的優品,這樣能夠最大化的精準曝光
[00:03:39.900 - 00:03:45.900] 可以看到右邊就算是一個展示,一個一圖5個展示
[00:03:45.900 - 00:03:51.900] 第二種版式是產品組模式,是核全面展示共一商的產品品類
[00:03:51.900 - 00:03:56.900] 體聲買家的選品體驗,設置的時候最多可以加3個產品組
[00:03:56.900 - 00:04:03.900] 建議至少要加2個和關鍵詞強將關的產品組,這樣比配都更高
[00:04:03.900 - 00:04:09.900] 可以看到右邊是具體展示的效果,是一個一圖3個產品組的展示
[00:04:09.900 - 00:04:20.260] 用了版式,我們終點是為下廣告產品的設置,這個是決定廣告效果的關鍵不重
[00:04:20.260 - 00:04:28.260] 我們此次升級,支持系統智能圈品和人工選品,還能夠設置主推品和平頻
[00:04:28.260 - 00:04:33.260] 提升效率的同時,保留了個性化配置的需求
[00:04:33.260 - 00:04:39.260] 在圈品和選品時,我們的條件和數量有什麼要求呢?
[00:04:39.260 - 00:04:49.260] 第一,要選擇4.5星際上,和廣告詞3關度高的產品,每個廣告最多保定200條產品
[00:04:49.260 - 00:05:02.260] 第二,關鍵詞挑戰的產品,標題和關鍵詞都要付蓋廣告詞,有請買了概念詞,行業大詞,零不見詞的工資商朋友,這個一定要注意
[00:05:02.260 - 00:05:08.260] 還有目錄體2的產品,需要在保高目錄下面進行選擇
[00:05:08.260 - 00:05:20.020] 另外,就算大家沒有及時的去配置廣告,系統也會自動缺旋符合條件的產品,今天展示並免出現空窗期
[00:05:20.020 - 00:05:30.020] 接下來我們來看具體的設置操作,第一,系統智能圈品,會自動篩選符合條件的產品,不幫韓主大產品
[00:05:30.020 - 00:05:41.020] 還有請自動高興的話,每七個自然日會進行一次圈品數據的更新,這樣也能夠提出我們產品的一個更新和錄出
[00:05:41.020 - 00:05:45.020] 右邊可以看到具體的操作步驟
[00:05:45.020 - 00:05:51.020] 我們高選了自動高興以後就等待它自動高興即可
[00:05:52.020 - 00:06:02.020] 第二,人工設置產品,大家可以手動天家或者深圖產品,總數不能超過200個,還可以手動天家主大產品
[00:06:02.020 - 00:06:12.020] 可以看到具體的天家錄境,就是在我們廣告管理的驗面去選擇天家或者山廚產品即可
[00:06:12.020 - 00:06:20.020] 我們元緒各現化的一個配置更好的去提升我們共一商的選擇需求
[00:06:20.020 - 00:06:31.020] 第三,設置主推品,每個報告對多能夠選10個主推品,主推品在報告位會有優先展示權,所以一定要選擇最有進徵力的產品
[00:06:31.020 - 00:06:39.020] 我們選擇主推品方式也是在產品管理的驗面去點擊,產品最有色的家錄主推品方式
[00:06:39.020 - 00:06:55.420] 第四,平壁產品,最多能夠平壁500條產品,平壁後產品不會再被系統圈選,或許如果想恢復的話可以到平壁產品管理裡面選擇取消平壁即可
[00:06:55.420 - 00:07:02.420] 我們具體操作錄境,就是錄像,也是在產品的最有色有一個平壁的按鈕
[00:07:02.420 - 00:07:08.420] 如果取消平壁,就到平壁產品管理理手動取消即可
[00:07:08.420 - 00:07:19.420] 以上,我們所有的廣告產品的設置,設置完成之後我們要記得點擊最下方提交廣告設置的按鈕
[00:07:19.420 - 00:07:28.420] 看到廣告設置完成的提示之後,就等系統同步信息,前排就能夠正常展示廣告
[00:07:28.420 - 00:07:43.420] 這裡還有有提交廣告的老客戶提個信,如果我們之前的產品、符合新的圈品規則,會被納入手動天家的廣告產品還會被打標為主推品
[00:07:43.420 - 00:07:55.420] 剩下的會有系統來進行補充,但是如果我們產品不符合,或者之前設置的是展示廳,手葉,這裏的內容,系統就會重新圈品
[00:07:55.420 - 00:08:05.420] 如果系統也圈不到符合條件的產品,廣告就沒辦法展示了,所以要提起大家一定要及時的進行優化
[00:08:05.420 - 00:08:09.420] 廣告產品的要求還是跟前面一樣的
[00:08:09.420 - 00:08:18.860] 另外,翻一翻廣告也進行了同步升級,和廣告一樣支持系統家人工全品
[00:08:18.860 - 00:08:28.860] 對於把電影量擺跳產品,實現千人千面的展示,操作入口也是在資產的輔列表裏面電擊管理廣告
[00:08:28.860 - 00:08:34.860] 最後,我們解答幾個場件的問題,幫助大家小心以插
[00:08:34.860 - 00:08:42.860] 你插作結果,產品增加到30個廣告位置會受影響嗎?還是不受影響的
[00:08:42.860 - 00:08:52.860] 廣告還是在首葉的前世衛買家的流亂習慣,依然從上到下沒有改變到,黃金衛子的價值依然是很高的
[00:08:52.860 - 00:09:02.860] 千人千面是什麼意思?就是系統會根據買家的搜索和訊息官,智能展示疲佩的產品
[00:09:02.860 - 00:09:08.860] 所以建議大家多綁定相關的優品群體手點擊的機會
[00:09:08.860 - 00:09:16.860] 第三,建議綁定多少產品?最多200個,建議至少保定10個,尤其是我們
[00:09:16.860 - 00:09:21.860] 過定第一和出品固定前二的廣告,他有多頻版,是的,呈現
[00:09:21.860 - 00:09:26.860] 多綁產品才能夠充分地去利用我們的廣告資源
[00:09:26.860 - 00:09:34.860] 第四,他不讓肯升幾後,廣告產品是多少個,主推品是什麼?可以刪除或者平比產品嗎?
[00:09:34.860 - 00:09:41.860] 天家廣告產品是系統圈品和人工圈品依供是最多200個產品的一個,上線
[00:09:41.860 - 00:09:45.860] 所選的廣告產品在廣告位會實現千人千面的展示
[00:09:45.860 - 00:09:50.860] 充分利用廣告資源,你還可以選擇最多10個主推品
[00:09:50.860 - 00:09:54.860] 主推品在廣告位會享有優先展示圈
[00:09:54.860 - 00:10:01.860] 如果我們不想展示的廣告產品,可以直接在夜面當中選擇被刪除
[00:10:01.860 - 00:10:10.860] 就會同廣告對列理別刪除掉了,如果後續我們都不想再去圈選該產品也可以點擊產品,平比
[00:10:10.860 - 00:10:16.860] 那麼以平比的產品後續就不會在進入系統天家產品的範圍
[00:10:16.860 - 00:10:21.860] 第五,什麼情況下?前台不展示,套不讓可廣告
[00:10:21.860 - 00:10:26.860] 系統會根據Tia廣告信息自動圈品展示,避免資源功耗
[00:10:26.860 - 00:10:32.860] 但是如果該廣告下沒有任何和公買詞,或者目錄相關的產品
[00:10:32.860 - 00:10:36.860] 則無法全奴產品,這個時候就不會去展示廣告
[00:10:36.860 - 00:10:40.860] 所以建議你及時的關注廣告的設置
[00:10:40.860 - 00:10:46.860] 第六,紫張戶可以設置廣告嗎?不可以,請先主張戶可以操作
[00:10:46.860 - 00:10:54.300] 其,套不讓可廣告廣告產品是怎麼圈選的?這時候總天家嗎?
[00:10:54.300 - 00:10:59.300] 我們的廣告產品是系統圈品,家人工圈品的方式
[00:10:59.300 - 00:11:03.300] 如果沒有圈道符合條件的產品,或者是想要自訂立的產品
[00:11:03.300 - 00:11:07.300] 都可以進行手動天家的方式來進行天家
[00:11:07.300 - 00:11:13.300] 系統圈品是根據購買詞,或者購買木錄去品牌符合條件的產品
[00:11:13.300 - 00:11:18.300] 產品要符合我們四年五星以及三關度高的要求
[00:11:18.300 - 00:11:24.300] 系統圈選,不會去圈選主大產品,但是在手動天家的時候可以進行天家
[00:11:24.300 - 00:11:29.300] 這裡要提醒大家,蘇瑟絕果液的手藝人是進行去廠道
[00:11:29.300 - 00:11:36.300] 一旦我們的主大產品進入了廣告推薦,那麼主大產品就不會重複在手藝的非廣告為出現
[00:11:36.300 - 00:11:40.300] 所以建議大家合理的選擇廣告資源的配置
[00:11:40.300 - 00:11:46.300] 第8,套不讓廣告升級後之前的廣告設置百世和產品會保留嗎?
[00:11:46.300 - 00:11:56.300] 這個我們前面已經提到過了,之前如果是有產品符合條件,就會納入到人工天家的範囲
[00:11:56.300 - 00:12:06.300] 其餘的會有系統圈品來補充,那我們之前設置的如果是展示廳手藝,或者一組產品或者說產品不符合條件的
[00:12:06.300 - 00:12:12.300] 升級後沒有產品,那入廣告產品會有系統自動來重新圈品
[00:12:12.300 - 00:12:19.300] 具體要與升級後的後台為主安建議我們,貴商朋友及時的去登陸後台設置廣告
[00:12:21.300 - 00:12:28.300] 第9,我的明面前往廣告需要設置百世嗎?只有固定第一或者出品固定前二的廣告
[00:12:28.300 - 00:12:34.300] 它有百世的選擇隨機排名不需要設置百世直接設置廣告產品幾個
[00:12:34.300 - 00:12:42.300] 第10,翻一翻無和設置翻一翻同步升級成支持系統智能圈品家人工圈品的方式
[00:12:42.300 - 00:12:51.300] 每個廣告可以選兩百條產品,根據買家的搜索行為千人千面展示操作入口實在資產福利表管理廣告
[00:12:51.300 - 00:13:02.300] 第11,所有廣告產品都進入供應商金集產品利和新產品高興產品嗎?是的,所有廣告產品包括系統圈品和人工圈品
[00:13:02.300 - 00:13:07.300] 捐納入供應商金集產品利和新產品高興產品的考核
[00:13:07.300 - 00:13:17.300] 所以建議及時的進行廣告的管理關注圈品的情況,優先把第4年流行以上與廣告詞相關的優品
[00:13:17.300 - 00:13:30.300] 可以通過人工圈品來調整廣告產品的數量,長期來看更多廣告產品的露出有利於訪問提升建議及時的配置廣告資源
[00:13:30.300 - 00:13:40.840] 好了,今天的課程就到這裡,總結一下這次明列前的廣告升級和新市流量更多,轉化更精準
[00:13:40.840 - 00:13:57.840] 大家跟這部種做好廣告產品說明,抓住這次升級的紅利,如果在操作過程中遇到任何問題,歡迎隨時聯繫在新客服或者波打4067177進行資訊,謝謝大家的觀看再見!
