# 9.账号搭建-在线交易简介

language=zh
language_probability=1.000
model=tiny

[00:00:00.020 - 00:00:03.240] 中國製造網的會員朋友們大家好
[00:00:03.240 - 00:00:05.620] 歡迎來到新手必須系列
[00:00:05.620 - 00:00:09.780] 本次課程主要為大家講解在信交易的相關內容
[00:00:09.780 - 00:00:14.480] 接下來,我將為大家詳細講解為什麼要開通在信交易
[00:00:14.480 - 00:00:18.300] 如何開通在信交易创建訂單的流程
[00:00:18.300 - 00:00:22.660] 支付方式以及 Global Pay Pro這幾個方面的內容
[00:00:22.660 - 00:00:28.040] 首先,我們來看一看開通在信交易服務對供應商有哪些好處
[00:00:28.040 - 00:00:31.680] 以及為什麼我們強烈建議您啟用這一功能
[00:00:31.680 - 00:00:34.180] 第一個就是安全高效
[00:00:34.180 - 00:00:36.180] 通過平台的封控模型
[00:00:36.180 - 00:00:40.580] 在現交易在一定程度上保障您規避買家巨幅等風險
[00:00:40.580 - 00:00:43.580] 平台與銀行等金融機構合作
[00:00:43.580 - 00:00:46.920] 有完善的反洗錢和反棄大機制
[00:00:46.920 - 00:00:49.360] 讓交易更加安全可靠
[00:00:49.360 - 00:00:52.160] 此外,買家通過平台支付
[00:00:52.160 - 00:00:54.520] 您可以更快速收到後款
[00:00:54.760 - 00:00:57.980] 同時,買家因為有平台作為第三方單寶
[00:00:57.980 - 00:01:01.940] 也會對交易更加放心,提高交易成功率
[00:01:01.940 - 00:01:05.020] 第二個是交易數據外顯提升信任
[00:01:05.020 - 00:01:09.560] 所有在線成交訂單都會激累為您的平台交易記錄
[00:01:09.560 - 00:01:13.460] 系統會將這部分數據展示在產品相侵業
[00:01:13.460 - 00:01:15.900] 成為您可靠的信任評判
[00:01:15.900 - 00:01:18.840] 當買家看到您真實的成交歷史時
[00:01:18.840 - 00:01:21.400] 更意見立演建為時的信心
[00:01:21.400 - 00:01:24.220] 從而顯著提升其下單議員
[00:01:24.420 - 00:01:27.300] 第三個優點是多種支付方式
[00:01:27.300 - 00:01:30.100] 平台支持多種買家支付方式
[00:01:30.100 - 00:01:33.440] 方便買家用自己習慣的方式付款
[00:01:33.440 - 00:01:37.540] 這一位著無論買家是在歐洲、美洲還是其他地區
[00:01:37.540 - 00:01:41.120] 都可以使用當地流行的支付方式完成訂單
[00:01:41.120 - 00:01:44.960] 對供應商而言,這大大提高了收款效率
[00:01:44.960 - 00:01:48.020] 您無需單獨開通反鎖的海外收款渠道
[00:01:48.020 - 00:01:50.020] 就能讓買家順利支付
[00:01:50.020 - 00:01:51.860] 縮短交易週期
[00:01:51.860 - 00:01:54.420] 最後便是全面路逼環服務
[00:01:54.420 - 00:01:56.200] 對於外貿新手來說
[00:01:56.200 - 00:02:00.300] 從找客戶、談訂單、刀收款、報官、
[00:02:00.300 - 00:02:02.860] 美部都可能充滿挑戰
[00:02:02.860 - 00:02:08.760] 而平台的在線交易功能相當於為您提供了全流程的支盜和服務
[00:02:08.760 - 00:02:12.340] 幫助您完成從巡盤到交易的逼環
[00:02:12.340 - 00:02:14.640] 平台集成了訂單創建
[00:02:14.640 - 00:02:17.200] 在線付款、物流旅約
[00:02:17.200 - 00:02:20.540] 甚至970報官身報等一系列環節
[00:02:20.540 - 00:02:23.620] 降低了操作難度和出錯風險
[00:02:23.620 - 00:02:26.060] 即使您是第一次做跨擊貿易
[00:02:26.060 - 00:02:30.020] 也可以在平台的質疑下有條不穩的完成交易
[00:02:30.020 - 00:02:34.620] 這無意是新手快速成長順利出單的有利助手
[00:02:34.620 - 00:02:35.900] 總結來看
[00:02:35.900 - 00:02:40.000] 開通在線交易能夠提升交易安全性和效率
[00:02:40.000 - 00:02:42.040] 提供更多負款選擇
[00:02:42.040 - 00:02:43.580] 增加買家信任
[00:02:43.580 - 00:02:46.900] 並為新手買家提供全方為支持
[00:02:46.900 - 00:02:51.000] 幫助大家在激烈的國際市場中賬文腳根
[00:02:51.000 - 00:02:53.300] 了解了在線交易的優勢
[00:02:53.300 - 00:02:56.880] 接下來我們來談談如何開通在線交易
[00:02:56.880 - 00:03:00.980] 您只需要進入您的後台VU進入交易板塊
[00:03:00.980 - 00:03:03.020] 點擊力及申請開通按鈕
[00:03:03.020 - 00:03:05.580] 即可進入開通交易的流程
[00:03:05.580 - 00:03:08.660] 開通在線交易服務並不復雜
[00:03:08.660 - 00:03:10.960] 但需要滿足一定條件
[00:03:10.960 - 00:03:14.540] 如果您在申請開通時遇到不成功的情況
[00:03:14.540 - 00:03:17.100] 常見原因可能包括一下幾點
[00:03:17.100 - 00:03:19.660] 首先便是未通過實力盛合
[00:03:19.660 - 00:03:23.240] 平台要求供應商通過實力認證盛合
[00:03:23.240 - 00:03:26.580] 以確保公司真實性和可信度
[00:03:26.580 - 00:03:29.260] 如果您的賬戶上位完成實力盛合
[00:03:29.260 - 00:03:32.460] 既沒有平台授權的第三方現場報告
[00:03:32.460 - 00:03:35.020] 開通申請可能會被拒絕
[00:03:35.020 - 00:03:38.360] 建議您盡快預約並通過實力盛合
[00:03:38.360 - 00:03:40.920] 這是賣相在線交易的第一步
[00:03:40.920 - 00:03:43.720] 其次是主營產品類別受限
[00:03:43.720 - 00:03:48.080] 部分產品類別目前贊不支持在線交易服務
[00:03:48.080 - 00:03:52.680] 如果您的主營產品屬於平台不可開放在線交易的目錄
[00:03:52.680 - 00:03:57.040] 那麼即使其他條件符合也無法開通此功能
[00:03:57.040 - 00:04:01.000] 舉例來說一些特殊行業或高風險類產品
[00:04:01.000 - 00:04:03.680] 如軍用品特殊化工等
[00:04:03.680 - 00:04:06.920] 可能被排除在在線交易服務之外
[00:04:06.920 - 00:04:11.560] 您可以在平台的幫助中心查詢具體哪些平類受限
[00:04:11.560 - 00:04:15.800] 或者考慮調整主營類目以符合要求
[00:04:15.800 - 00:04:18.040] 最後可能主營無法開通的原因
[00:04:18.040 - 00:04:21.160] 便是高級會員推廣服務衛上線
[00:04:21.160 - 00:04:24.040] 在線交易服務通常像已經正式上線
[00:04:24.040 - 00:04:27.240] 高級會員推廣服務的供應上開放
[00:04:27.240 - 00:04:30.960] 如果您的會員賬戶還處於免費或使用狀態
[00:04:30.960 - 00:04:34.040] 或者高級會員資格上位正式深笑
[00:04:34.040 - 00:04:37.080] 那麼在線交易可能暫無法開通
[00:04:37.080 - 00:04:38.080] 換言之
[00:04:38.080 - 00:04:40.840] 您需要先成為平台的正式高級會員
[00:04:40.840 - 00:04:45.000] 並激活推廣服務後才能申請在線交易
[00:04:45.000 - 00:04:49.760] 這也是為了確保平台上的供應上具有一定的資質和幸運
[00:04:49.760 - 00:04:52.000] 當在線交易功能開通後
[00:04:52.000 - 00:04:56.800] 供應上就可以通過平台來創建訂單並完成交易
[00:04:56.800 - 00:04:58.560] 下面我們按照順序
[00:04:58.560 - 00:05:01.720] 講解創建訂單的六個主要步驟
[00:05:01.720 - 00:05:04.760] 這部分內容是在線交易操作的核心
[00:05:04.760 - 00:05:07.120] 新手朋友們請特別注意
[00:05:07.120 - 00:05:08.760] 第一步創建訂單
[00:05:08.760 - 00:05:13.280] 登錄您的供應上賬戶後台進入在線交易管理也面
[00:05:13.280 - 00:05:15.280] 點擊新建訂單
[00:05:15.280 - 00:05:19.720] 在這裡您可以選擇創建兩種類型的訂單
[00:05:19.720 - 00:05:25.440] STAS訂單和安心收訂單是平台提供的兩種交易服務模式
[00:05:25.440 - 00:05:29.680] STAS訂單支持多種支付方式包括信用卡等
[00:05:29.680 - 00:05:33.360] 而安心收訂單僅支持銀行電會覆垮
[00:05:33.360 - 00:05:36.080] 特點是避免信用卡劇服風險
[00:05:36.080 - 00:05:40.560] 收款更加安心平台目前已經支持多幣種訂單
[00:05:40.560 - 00:05:44.400] 您在創建訂單是可以選擇交易使用的秘種
[00:05:44.400 - 00:05:47.360] 例如美元、歐元、火人民幣
[00:05:47.360 - 00:05:48.880] 需要提醒的是
[00:05:48.880 - 00:05:52.640] 如果您選擇歐元或人民幣作為訂單幣種
[00:05:52.640 - 00:05:56.320] 則目前僅支持通過TT電會的方式覆垮
[00:05:56.320 - 00:06:00.320] 信用卡等支付方式暫不使用於非美元幣種
[00:06:00.320 - 00:06:03.120] 第二步您需要填寫買家信息
[00:06:03.120 - 00:06:08.560] 訂單建立後您需要陸入買家的收貨信息和賬單信息
[00:06:08.560 - 00:06:09.600] 請注意
[00:06:09.600 - 00:06:11.760] 這裡有兩個地址需要區分
[00:06:11.760 - 00:06:13.600] 其一是收貨地址
[00:06:13.600 - 00:06:15.760] 幾貨物最重要送達的地點
[00:06:15.760 - 00:06:17.600] 其二是賬單地址
[00:06:17.600 - 00:06:23.120] 通常只買家信用卡或銀行賬戶所對應的賬單地址
[00:06:23.120 - 00:06:26.080] 第三步是填寫產品信息
[00:06:26.080 - 00:06:30.240] 接下來添加本次訂單中要銷售的產品
[00:06:30.240 - 00:06:33.760] 平台支持最多50個產品一起下單
[00:06:33.760 - 00:06:37.200] 也就是說如果買家財購多個不同產品
[00:06:37.200 - 00:06:39.760] 都可以和並在一個訂單中
[00:06:39.760 - 00:06:42.800] 但也請您根據實際情況說明天
[00:06:42.800 - 00:06:47.440] 確保每個產品的數量單價等信息準確無物
[00:06:47.440 - 00:06:52.240] 如果您的賬號下有資賬號比如公司員工各自的賬號
[00:06:52.240 - 00:06:58.160] 紫賬號用戶在創建訂單時只能選擇自己名下的可交易產品
[00:06:58.160 - 00:07:01.840] 這是為了確保訂單有負責該產品的人員處理
[00:07:01.840 - 00:07:03.200] 避免混亂
[00:07:03.200 - 00:07:08.160] 請確認所選產品都在平台發佈前符合在線交易的要求
[00:07:08.160 - 00:07:10.960] 否則會無法添加到訂單中
[00:07:10.960 - 00:07:13.520] 第四步便是確認物流信息
[00:07:13.520 - 00:07:18.640] 在這一步您需要與買家寫商並填寫貨物的物流發貨信息
[00:07:18.640 - 00:07:21.280] 關鍵要素包括物流方式
[00:07:21.280 - 00:07:24.960] 預計發貨日期以及運輸時間等
[00:07:24.960 - 00:07:27.680] 其中約定發貨日期非常重要
[00:07:27.680 - 00:07:30.960] 請務必嚴格按照約定日期發貨
[00:07:30.960 - 00:07:34.400] 這不僅影響到您店鋪的暗示發貨率指標
[00:07:34.400 - 00:07:38.320] 也關稍買家的收貨體驗和對您的評價
[00:07:38.320 - 00:07:40.480] 如果未能暗示發貨
[00:07:40.480 - 00:07:45.120] 買家有權發起糾紛平台也會是情況介入處理
[00:07:45.120 - 00:07:49.760] 所以為了維護良好的交易旅約率並避免貿易風險
[00:07:49.760 - 00:07:53.120] 現實中可以給自己預留一點緩充時間
[00:07:53.120 - 00:07:56.560] 但一定要確保在承諾時間前發貨
[00:07:56.720 - 00:08:01.040] 填寫物流信息是還要注意單具的核規和完整
[00:08:01.040 - 00:08:06.400] 例如海運空運需要上傳提單或空運單號等評審
[00:08:06.400 - 00:08:09.120] 平台對此有相應規範要求
[00:08:09.120 - 00:08:11.760] 例如確認出口方式
[00:08:11.760 - 00:08:14.640] 跨境交易會涉及貨物出口暴管
[00:08:14.640 - 00:08:19.440] 在平台上創建訂單時需要選擇本單的出口方式
[00:08:19.440 - 00:08:23.920] 一般情況下有兩種快節出口和自營出口
[00:08:23.920 - 00:08:27.760] 快節出口是用於單比訂單進額較小的情況
[00:08:27.760 - 00:08:31.680] 具體來說當訂單金額小餘等於5000美元
[00:08:31.680 - 00:08:33.760] 或小餘等於5000歐元
[00:08:33.760 - 00:08:38.960] 或小餘等於3萬5000元人民幣時可以選擇快節出口服務
[00:08:38.960 - 00:08:42.320] 如果訂單進額超過上出快節出口限額
[00:08:42.320 - 00:08:44.880] 那麼你需要選擇自營出口
[00:08:44.880 - 00:08:47.760] 這一位則由您自行安排曝管
[00:08:47.760 - 00:08:50.960] 你需要以出口商身份準備曝官資料
[00:08:50.960 - 00:08:56.480] 向海關深暴後無出口並確保符合中國出口監管要求
[00:08:56.480 - 00:08:59.440] 自營出口方式雖然手續相對反鎖
[00:08:59.440 - 00:09:03.440] 但對於大額訂單或特定覆管方式是必須的
[00:09:03.440 - 00:09:05.520] 請提前做好準備
[00:09:05.520 - 00:09:08.160] 最後一步是確認覆管信息
[00:09:08.160 - 00:09:10.080] 在訂單確認環節
[00:09:10.080 - 00:09:13.760] 您需要設置本訂單的覆管方式和週期
