# 4. 询盘回复实用工具

language=zh
language_probability=1.000
model=tiny

[00:00:03.020 - 00:00:07.060] 大家好 欢迎大家来到MIC商家境接班
[00:00:07.060 - 00:00:11.060] 我是来自中国知道网绝海域经理游戏家
[00:00:11.060 - 00:00:15.260] 这些特权的主题是循環回复使用工具
[00:00:15.260 - 00:00:17.500] 本购成将会围绕
[00:00:17.500 - 00:00:19.420] 大家在收到循環之后
[00:00:19.420 - 00:00:23.460] 如何通过一些工具来查询买家的信息
[00:00:23.460 - 00:00:24.660] 回复循環
[00:00:24.660 - 00:00:26.860] 以及后序跟进客复使
[00:00:26.860 - 00:00:31.300] 如何进入用一些网络工具去解决一些问题的
[00:00:31.780 - 00:00:34.660] 买一宗买家的循環到达数月降
[00:00:34.660 - 00:00:38.780] 其实我们共云商来说也是一种收上限者
[00:00:38.780 - 00:00:41.140] 我们要去期间了解干买家的
[00:00:41.140 - 00:00:45.380] 以公司主义产品的细核度以及不是的优劣
[00:00:45.380 - 00:00:48.020] 那中国之造网也提供了相关的入口
[00:00:48.020 - 00:00:50.500] 跟我们去了解买家情况
[00:00:50.500 - 00:00:53.140] 主要是以下集的功能
[00:00:53.140 - 00:00:55.140] 首先是循環想行业
[00:00:55.140 - 00:00:58.100] 它会提供买家前写的资料信息
[00:00:58.100 - 00:01:01.780] 向买家的功能资名称信名由乡
[00:01:01.780 - 00:01:05.620] 那国家呢是买家在发行排学继续的乡委
[00:01:05.620 - 00:01:07.380] 一定能开始一个访客
[00:01:07.380 - 00:01:11.460] 要成功去发送循環也是必须要钱就即象的
[00:01:11.460 - 00:01:14.580] 那如果买家是注册了安排学的会员
[00:01:14.580 - 00:01:17.220] 那么它的信息更晚了解
[00:01:17.220 - 00:01:19.060] 比如说它会钱电话
[00:01:19.060 - 00:01:21.940] 公司网织继织的信息
[00:01:21.940 - 00:01:24.020] 我们还可以通过循環相信业
[00:01:24.020 - 00:01:26.420] 去看到买家的律师行为
[00:01:26.420 - 00:01:30.180] 有没有被其他循環性进入收藏过
[00:01:30.180 - 00:01:33.380] 另外我们也提供过循環数据
[00:01:33.380 - 00:01:35.060] 去尝试性的工作
[00:01:35.060 - 00:01:37.380] 这个买家它的信口帽也出现
[00:01:37.380 - 00:01:41.700] 来获得更想起了它的一个探夺趋试息
[00:01:41.700 - 00:01:45.220] 在数据罗盘内部通过我的客户供口
[00:01:45.220 - 00:01:47.140] 我们也提供到该买家
[00:01:47.140 - 00:01:50.900] 给做家统行之前发了多少宫循環
[00:01:50.900 - 00:01:54.580] 从而对买家支持作为一个初步的判判判
[00:01:55.540 - 00:01:58.580] 说到了一封中国制造网上
[00:01:58.580 - 00:02:00.180] 买家发来的循環
[00:02:00.180 - 00:02:02.820] 我们可以在循環相信业的作品
[00:02:02.820 - 00:02:05.540] 看到买家前写的基本信息
[00:02:05.540 - 00:02:07.860] 这些客户会有一个文
[00:02:07.860 - 00:02:12.100] 我们会发现买家和国家和ITG是不一样的
[00:02:12.100 - 00:02:14.260] 这都有买些原因
[00:02:14.260 - 00:02:16.340] ITG是代表客户
[00:02:16.340 - 00:02:19.540] 它发循環实使用的网络服务器记者
[00:02:19.540 - 00:02:22.020] 国家是它自己前写的
[00:02:22.020 - 00:02:24.980] 这两个地方会一样有其中可能性
[00:02:24.980 - 00:02:26.980] 一个是像我们自己一样
[00:02:26.980 - 00:02:29.380] 我们使用的在理不器
[00:02:29.380 - 00:02:33.380] 单抢之后IT会显示美国或者其他国家
[00:02:33.380 - 00:02:35.940] 在实际上我们人是在中国的
[00:02:35.940 - 00:02:38.660] 第二个原因也可能客户它自己本身
[00:02:38.660 - 00:02:40.260] 也在出差过程中
[00:02:40.260 - 00:02:41.540] 其上的网
[00:02:41.540 - 00:02:44.980] 第三个是可能客户自己的国籍
[00:02:44.980 - 00:02:46.660] 和它工作生活的所在地
[00:02:46.660 - 00:02:47.860] 是不一样的
[00:02:47.860 - 00:02:51.300] 它出差的时候显示它自己的国籍
[00:02:51.300 - 00:02:54.180] 而且自己也需要我们请宣积最带的
[00:02:54.180 - 00:02:57.220] 这个客户还能是一个下线份子
[00:02:57.220 - 00:03:01.620] 所以我们如果遇到了IT和国家不一致的情况
[00:03:01.620 - 00:03:04.020] 需要请宣积人去判断回复
[00:03:04.020 - 00:03:06.100] 但不能说因为这个原因
[00:03:06.100 - 00:03:08.500] 我们就认定买家是有问题的
[00:03:09.540 - 00:03:12.260] 好接着我们可以去请请买家投降
[00:03:12.260 - 00:03:14.500] 进到买家想请念念
[00:03:14.500 - 00:03:16.100] 再又上脚可以看到
[00:03:16.100 - 00:03:19.140] 这个买家被投行平地的多少钱
[00:03:19.140 - 00:03:20.580] 收藏了多少钱
[00:03:20.580 - 00:03:23.860] 而如果发现被投行平地技术还请多的
[00:03:23.860 - 00:03:27.140] 那其实可以说明这个买家可能是有问题的
[00:03:27.140 - 00:03:30.420] 我们在处理的时候就需要更加的请宣积
[00:03:30.420 - 00:03:33.380] 那同时我们也可以去拿买家的信息
[00:03:33.380 - 00:03:34.900] 比如说公司隐身
[00:03:34.900 - 00:03:37.940] 好去接收的隐体上来四周判
[00:03:37.940 - 00:03:39.860] 是不是有一些不两个记录
[00:03:39.860 - 00:03:44.660] 因为统好的也是会把自己遇到的天体信息来挂到网上
[00:03:44.660 - 00:03:47.060] 这样子我们就可以立场上了
[00:03:48.020 - 00:03:50.820] 同时我们也可以去查证到买家
[00:03:50.820 - 00:03:53.220] 进九十千搜索的关键值
[00:03:53.220 - 00:03:57.460] 必须大致的了解到买家的内心以及尊业度
[00:03:57.460 - 00:04:00.020] 比如说节目上的这个买家
[00:04:00.020 - 00:04:03.540] 它搜索的这个子就设计的行业有很多
[00:04:03.540 - 00:04:04.900] 有花工设备
[00:04:04.900 - 00:04:06.020] 实际设备
[00:04:06.020 - 00:04:07.540] 轮胎等等
[00:04:07.540 - 00:04:08.820] 我们可以判断
[00:04:08.820 - 00:04:11.780] 这个买家可能是一个中间商
[00:04:13.300 - 00:04:15.700] 在数据模盘我的客户里
[00:04:15.700 - 00:04:19.540] 也可以看到买家给统航发送行盘的情况
[00:04:19.540 - 00:04:21.460] 在注意这边时间的深県
[00:04:21.460 - 00:04:24.340] 礼物世界去进行四周眷卷的道
[00:04:24.340 - 00:04:26.660] 比如我们可以去选某一个月
[00:04:26.660 - 00:04:29.060] 或者是某几个月或者是一年
[00:04:29.060 - 00:04:34.180] 我们可以在这个地方看到买家在所眷时间断内
[00:04:34.180 - 00:04:37.220] 给多少家统航发了多少东西盘
[00:04:37.220 - 00:04:42.100] 如果发现它给很多共云商都发送了大量行盘
[00:04:42.100 - 00:04:44.980] 可以说明买家的行为是比较可疑的
[00:04:44.980 - 00:04:47.860] 没办法说去排除它是不是骗子
[00:04:47.860 - 00:04:50.660] 但是我买家买家买买我一家发了行盘
[00:04:50.660 - 00:04:52.900] 或者只几个两道三家
[00:04:52.900 - 00:04:56.740] 那说明买家对我的意象性还是比较强的
[00:04:56.740 - 00:05:00.100] 如果买家他几个同行数量比较多
[00:05:00.100 - 00:05:04.420] 可能这个买家也是在做大量的行价行为
[00:05:04.420 - 00:05:07.140] 是对价格伸来向比较在意的
[00:05:07.140 - 00:05:09.460] 我们在抱歉以为客户的行盘
[00:05:09.460 - 00:05:11.300] 就建议协议去选择
[00:05:11.300 - 00:05:13.300] 比较有价格优势的产品
[00:05:13.300 - 00:05:14.580] 来进行爆架
[00:05:14.580 - 00:05:17.780] 先进一买家的回复以及能关注度
[00:05:19.540 - 00:05:22.260] 好 那我们在掌握了买家的公司民称
[00:05:22.260 - 00:05:24.020] 帝职的冷心机之后呢
[00:05:24.020 - 00:05:26.340] 可以把这些信息放到
[00:05:26.340 - 00:05:28.020] 全球贸易数据工人家
[00:05:28.020 - 00:05:30.660] 去进行这种场势性的查照
[00:05:30.660 - 00:05:34.180] 可以看到这个买家他的综合材质力
[00:05:34.180 - 00:05:36.900] 比如说最近一次后运时间
[00:05:36.900 - 00:05:38.820] 是否是从中国材质的
[00:05:38.820 - 00:05:41.540] 他的货运金额货运重量等等
[00:05:41.540 - 00:05:43.460] 来帮助我们进一步判断
[00:05:43.460 - 00:05:45.140] 这个买家的出质
[00:05:45.140 - 00:05:47.220] 那全球贸易数据的位置呢
[00:05:47.220 - 00:05:49.540] 大家可以在握车水厚台
[00:05:49.540 - 00:05:51.860] 从银消数据银行
[00:05:51.860 - 00:05:55.860] 然后进到这个板块下
[00:05:55.860 - 00:05:59.140] 除了通过安眨这一场买家的信息
[00:05:59.140 - 00:06:03.300] 我们也可以去进入一些外部的网站来进行查评
[00:06:03.300 - 00:06:05.700] 这里呢主要介绍一下通过
[00:06:05.700 - 00:06:08.260] 这个是叫平台呼吧网站
[00:06:08.260 - 00:06:12.340] 以及一些正习官网或者是进入机构网站
[00:06:12.340 - 00:06:15.140] 数据公司网站来进行查评
[00:06:15.140 - 00:06:19.300] 这边给大家列出来了
[00:06:19.300 - 00:06:21.860] 一期各国传统的租租租租
[00:06:21.860 - 00:06:25.860] 大家可以根据自己的主要买家分布来进行选择
[00:06:25.860 - 00:06:27.460] 那像中国家呢
[00:06:27.460 - 00:06:29.380] 或是主要用几个租租租租租
[00:06:29.380 - 00:06:31.620] 由哪有几个瓦组
[00:06:31.620 - 00:06:32.980] 几些比较多
[00:06:32.980 - 00:06:34.020] 那日本的话呢
[00:06:34.020 - 00:06:35.060] 主要用俩火
[00:06:35.060 - 00:06:38.180] 把韩国本土的做引进的就是那种
[00:06:38.180 - 00:06:40.180] 如果大家收到租女羡团
[00:06:40.180 - 00:06:43.380] 买家留着公司后的个人信息是高女的
[00:06:43.380 - 00:06:46.800] 也可以收到当机了租租租租租租租租租租租租租
[00:06:46.800 - 00:06:50.060] 在使用谷歌租租租租
[00:06:50.060 - 00:06:52.740] 我们提供用于节租租租指令
[00:06:52.740 - 00:06:55.820] 比如说用在帽号加上遇民
[00:06:55.820 - 00:06:58.540] 按照注意假许问问问问就是王主
[00:06:58.540 - 00:07:00.660] 是曹代三大六点的
[00:07:00.660 - 00:07:02.980] 帽号后也不能有控制
[00:07:02.980 - 00:07:04.580] 这个指定就代表
[00:07:04.580 - 00:07:07.380] 请宣布所在遇民下的信息
[00:07:07.380 - 00:07:08.580] 比如说我说
[00:07:08.580 - 00:07:11.180] 在帽号没领运拆哪刀抗
[00:07:11.180 - 00:07:13.220] 那么就是高伺传说疫情
[00:07:13.220 - 00:07:17.260] 请宣布所遇民是没领拆哪刀抗的信息
[00:07:17.260 - 00:07:21.020] 好 那第二个指定是在宣布方式关键局
[00:07:21.020 - 00:07:24.100] 帽号帽号加上破云
[00:07:24.100 - 00:07:27.740] 比如说帽号帽号提点说
[00:07:27.740 - 00:07:29.260] 那就是告诉苏苦琳
[00:07:29.260 - 00:07:30.700] 我想要去查找
[00:07:30.700 - 00:07:35.380] 所以有文件类型为提点说的帽号相关的信息
[00:07:35.380 - 00:07:38.380] 好 第三个指定是遇民没有
[00:07:38.380 - 00:07:40.220] 比如说没领运拆哪刀抗
[00:07:40.220 - 00:07:43.020] 没有 就是苏苏在没领运拆哪刀抗
[00:07:43.020 - 00:07:44.260] 就是网站上
[00:07:44.260 - 00:07:45.500] 苏苏的网约中
[00:07:45.500 - 00:07:49.040] 还有没有的网约
[00:07:49.040 - 00:07:50.880] 这种自来说一家怎么去用
[00:07:50.880 - 00:07:53.120] 所以我们可以用非素来说说买家
[00:07:53.120 - 00:07:56.360] 那一般的我们可以用买家信名来信息说说
[00:07:56.360 - 00:07:57.920] 然后我们可以从买家的
[00:07:57.920 - 00:08:00.160] SG账号的好友中
[00:08:00.160 - 00:08:03.400] 就去发现它的公司账号
[00:08:03.400 - 00:08:05.600] 那在打开了公司账号之后呢
[00:08:05.600 - 00:08:08.120] 就可以去发现一些剩家想戏的
[00:08:08.120 - 00:08:09.960] 关于它公司的信息
[00:08:09.960 - 00:08:12.840] 我们也可以去加这个买家为好友来信息
[00:08:12.840 - 00:08:14.120] 后去联系
[00:08:14.120 - 00:08:15.320] 也可以在他的好友当中
[00:08:15.320 - 00:08:17.520] 再去发现他的一些同行
[00:08:17.520 - 00:08:20.200] 这些同行可能就是我们日后的特负
[00:08:20.200 - 00:08:22.760] 来开发这个买家周边的戏员
[00:08:24.040 - 00:08:27.000] 在苏苏到了特负的公司网站后
[00:08:27.000 - 00:08:30.600] 有一些网站上可能是没有有将会的电话的
[00:08:30.600 - 00:08:31.840] 那么可以去尝试
[00:08:31.840 - 00:08:34.440] 有副一指工具来查询看看
