# 2. 社媒账号创建指南

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:13.040] 大家下午好
[00:00:13.040 - 00:00:14.320] 接下來我們會說
[00:00:14.320 - 00:00:15.920] 大家大家一起看一下
[00:00:15.920 - 00:00:16.880] 各個海外市門
[00:00:16.880 - 00:00:18.680] 站好具體的創建
[00:00:18.680 - 00:00:22.000] 主要包括我們站好創建前的準備工作
[00:00:22.000 - 00:00:24.560] 主策站好的操作步走
[00:00:24.560 - 00:00:26.600] 主策過程當中的注意事項
[00:00:26.600 - 00:00:28.640] 我們主策成功的技巧
[00:00:28.640 - 00:00:29.920] 還有就是說
[00:00:29.920 - 00:00:31.480] 我們站好萬一被封掉了
[00:00:31.480 - 00:00:33.000] 具體怎麼去解決
[00:00:33.000 - 00:00:39.160] 我們主業站好個人站好具體的創建
[00:00:39.160 - 00:00:40.440] 完成之後
[00:00:40.440 - 00:00:42.240] 我會帶大家一起來看一下
[00:00:42.240 - 00:00:45.320] 我們主業站好具體的
[00:00:45.320 - 00:00:47.600] 電鋪的晚上工作
[00:00:47.600 - 00:00:49.400] 首先我們來看一下
[00:00:49.400 - 00:00:51.440] 主策各個海外市門站好的話
[00:00:51.440 - 00:00:53.240] 需要做一些準備工作
[00:00:53.240 - 00:00:55.800] 各個市門平台的主策站好的網址
[00:00:55.800 - 00:00:59.120] 已經把大家幫大家整理到表格裡面了
[00:00:59.120 - 00:01:01.160] 規拿起來的話大同小意
[00:01:01.160 - 00:01:04.760] 主要就是說像手機、性命、有箱
[00:01:04.760 - 00:01:07.080] 出生日期年齡
[00:01:07.080 - 00:01:09.360] 還有就是我們的登陸密碼
[00:01:09.360 - 00:01:12.240] 設置的像Ping、印刺
[00:01:12.240 - 00:01:15.240] 還有Festbook的像Ping和印刺的話
[00:01:15.240 - 00:01:18.320] 基本上我們只要有Festbook的站好都是可以去
[00:01:18.320 - 00:01:19.360] 快節的木的
[00:01:19.360 - 00:01:21.640] 然後Ping,你銀和YouTube的話
[00:01:21.640 - 00:01:24.720] 都是支持估格和Festbook的木的
[00:01:24.720 - 00:01:29.960] 除了推特沒有個人站好和主業站好的區分
[00:01:29.960 - 00:01:31.760] 大部分的海外市交媒體平台
[00:01:31.760 - 00:01:34.320] 都會有個人站好主業站好的區分
[00:01:34.320 - 00:01:36.480] 主業站好基本上可以立業為
[00:01:36.480 - 00:01:38.240] 我們的公司的主業站好
[00:01:38.240 - 00:01:39.840] 或者是企業的站好
[00:01:39.840 - 00:01:42.720] 比較適合我們以公司的名義去做
[00:01:42.720 - 00:01:44.880] 去建設創建這個站好
[00:01:44.880 - 00:01:47.440] 接下來我會帶大家一起來看一下
[00:01:47.440 - 00:01:48.440] 各個社媒平台
[00:01:48.440 - 00:01:53.200] 就是個人站好的創建的具體不走和具體的注意事項
[00:01:53.200 - 00:01:56.280] 剛剛表格當中已經幫大家整理了
[00:01:56.280 - 00:01:57.240] 創建各個社會
[00:01:57.240 - 00:01:59.880] 還來社媒站好對應的這個網址
[00:01:59.880 - 00:02:02.000] 或者大家可以直接在股格上
[00:02:02.000 - 00:02:03.840] 沒去搜索所譬如說Festbook
[00:02:03.840 - 00:02:04.760] 會出策這樣
[00:02:04.760 - 00:02:07.200] 直接進入Festbook的這個主策的木頁面
[00:02:07.200 - 00:02:09.160] 我們點擊這個新建章戶
[00:02:09.160 - 00:02:11.640] Festbook的主策頁面在注册過程當中
[00:02:11.640 - 00:02:13.840] 是需要兩次輸入有鄉的
[00:02:13.840 - 00:02:15.960] 按照操作見面的要求
[00:02:15.960 - 00:02:18.080] 我們提醒相關的信息
[00:02:18.080 - 00:02:20.640] 簡單的上傳這個個人頭像
[00:02:20.640 - 00:02:22.800] 不要做過多的操作
[00:02:22.800 - 00:02:24.320] 建議大家先推出來
[00:02:25.520 - 00:02:28.360] 不建議大家在帳號創建完成之後
[00:02:28.360 - 00:02:31.520] 去平凡的家豪有或是是平凡的去操作
[00:02:31.520 - 00:02:34.960] FB的這個頁面很容易被封掉
[00:02:35.760 - 00:02:38.240] 我們來看一下推特的主策頁面
[00:02:38.240 - 00:02:39.520] 推特的主策頁面的話
[00:02:39.520 - 00:02:40.920] 點擊這個主策之後
[00:02:40.920 - 00:02:43.360] 我們根據它的要求
[00:02:43.360 - 00:02:46.160] 它其實是默認按照手機後來註冊的
[00:02:46.160 - 00:02:48.200] 在這裡給大家提一個建議
[00:02:48.200 - 00:02:50.480] 就是我們可以去用這個
[00:02:50.480 - 00:02:52.880] 它下面不是有一個改用電子有建嗎
[00:02:52.880 - 00:02:55.960] 我們點這個改用電子有建選擇
[00:02:55.960 - 00:02:57.480] 又有鄉的方式主策
[00:02:57.480 - 00:03:00.680] 因為我們用手機註冊後面很容易
[00:03:00.680 - 00:03:02.360] 就會收不到陰正
[00:03:02.360 - 00:03:05.120] 我們改用這個油箱出策的話
[00:03:05.120 - 00:03:06.680] 推特這塊的平凡
[00:03:06.680 - 00:03:09.320] 它不會在我們油箱出策之後
[00:03:09.320 - 00:03:12.080] 再要去做手機耗的驗證
[00:03:12.080 - 00:03:14.760] 當然大家在選擇油箱出策的時候
[00:03:14.760 - 00:03:16.440] 建議大家使用一下
[00:03:16.440 - 00:03:18.000] 機面或者是號字面
[00:03:18.000 - 00:03:20.080] 這種國際通用的油箱
[00:03:20.080 - 00:03:22.800] 提升我們這個主策成功率
[00:03:22.800 - 00:03:24.560] 接下來我們看一下屏
[00:03:24.560 - 00:03:26.720] 屏這個平凡出策的話
[00:03:26.720 - 00:03:29.200] 就是油上腳它不是有一個出策的按鈕
[00:03:29.200 - 00:03:30.640] 我們跟其他的要求
