# 8.【营销力】回复率和平均回复时长

language=zh
language_probability=1.000
model=tiny

[00:00:00.400 - 00:00:05.320] 大家好,可以到大家介紹一下公司商新的一些辦法
[00:00:05.320 - 00:00:10.160] 首先我們需要進入到後台在公司商新技術給自己立即查看
[00:00:10.160 - 00:00:15.320] 在這個方面,我們可以看到張國目前所需要提升的確定下
[00:00:15.320 - 00:00:20.880] 我們以贏交利為主給大家介紹一下贏交利款所新新的辦法
[00:00:20.880 - 00:00:26.440] 首先,贏交利可以通過提高即使回復率出來平均回復時間
[00:00:26.440 - 00:00:32.400] 提高金交次數和活動參與次數,以及要請買家好評的方式進行快速升星
[00:00:32.400 - 00:00:39.200] 其實回復率這邊是要求我們公司商在24小時之內回復買家的雄盤或者天安新星
[00:00:39.200 - 00:00:46.680] 平均回復時間是指公司商回復買家當天首條消息所需要的平均時間
[00:00:46.680 - 00:00:50.240] 我們這邊也建議大家在四小時之內進行回復
[00:00:50.560 - 00:00:56.480] 這兩下我們可以通過是指AI接到的方式進行進行不得提升
[00:00:56.480 - 00:01:01.760] 首先我們需要找到後台點擊商機
[00:01:01.760 - 00:01:04.760] 點擊天接待設置
[00:01:04.760 - 00:01:07.640] 點擊AI接待點擊開啟接待
[00:01:07.640 - 00:01:11.400] 這邊也給大家提高那些字定義的規則
